,Cluster Labels,Area,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,True Count,Latitude,Longitude
96,2,S.B. Road ,Cricket Ground,Ice Cream Shop,Indian Restaurant,1,18.935097,72.8255707
97,2,Sahar P & T Colony ,Coffee Shop,Indian Restaurant,Hotel,1,19.0995955,72.867284
98,2,Sakinaka ,Indian Restaurant,Fast Food Restaurant,Coffee Shop,1,19.1004019,72.8817764
99,0,Santacruz Central ,Indian Restaurant,Hotel,Coffee Shop,1,19.0923364,72.85320060785088
100,2,Santacruz P&t Colony ,Chinese Restaurant,Indian Restaurant,Fast Food Restaurant,1,19.0818622,72.8440285
101,0,Santacruz(East) ,Indian Restaurant,Hotel,Coffee Shop,1,19.0923364,72.85320060785088
102,0,Santacruz(West) ,Indian Restaurant,Hotel,Coffee Shop,1,19.0923364,72.85320060785088
103,2,Seepz ,Asian Restaurant,Indian Restaurant,Restaurant,1,19.1253556,72.8751701719707
104,0,Shivaji Nagar  ,Fried Chicken Joint,Indian Restaurant,Department Store,1,19.0637885,72.9249
105,2,Shivaji Park  ,Chinese Restaurant,Indian Restaurant,Movie Theater,1,19.027236000000002,72.8383477969171
106,0,Sindhi Society ,Indian Restaurant,Bar,Smoke Shop,1,19.0508747,72.8890543
107,3,Sion ,Indian Restaurant,Seafood Restaurant,Snack Place,2,19.0465213,72.8632834
108,2,Tagore Nagar ,Fast Food Restaurant,Indian Restaurant,Clothing Store,1,19.1176276,72.9322006
109,1,Tank Road ,Indian Restaurant,Pizza Place,Multiplex,1,19.0268944,72.8681070001506
110,3,Tilak Nagar  ,Indian Restaurant,Restaurant,Lounge,1,19.0692377,72.8978464
111,0,Town Hall  ,Indian Restaurant,Sandwich Place,Food Truck,1,19.103696,72.8488887
112,2,Tulsiwadi ,Fast Food Restaurant,Indian Restaurant,Restaurant,1,18.9734232,72.8181556
113,0,Usha Nagar ,Indian Restaurant,Hotel,Fast Food Restaurant,1,19.1521752,72.9414982
114,2,Vakola ,Indian Restaurant,Bakery,Hotel,1,19.0813635,72.853893
